UAV Trajectory Coordinates
Step	X(m)	Y(m)	Z(m)	Distance_from_prev
--------------------------------------------------
0	10.504	9.053	10.000	0.000
1	11.069	10.377	10.349	1.481
2	11.986	10.745	10.195	1.000
3	12.950	10.334	10.238	1.049
4	13.338	9.368	10.000	1.068
5	17.606	7.548	10.190	4.643
6	20.091	8.052	10.158	2.537
7	21.941	6.826	10.936	2.351
8	22.651	5.946	11.391	1.219
9	24.466	5.753	11.776	1.865
10	25.231	6.371	11.593	1.000
11	26.820	6.202	11.410	1.608
12	28.615	3.979	11.797	2.883
13	29.633	1.359	11.055	2.907
14	33.974	0.000	11.698	4.594
15	34.287	0.000	12.201	0.593
16	35.137	0.000	12.570	0.927
17	37.313	0.845	12.535	2.335
18	37.683	1.685	12.138	1.000
19	37.321	2.617	12.123	1.000
20	37.757	3.608	12.389	1.114
21	39.683	4.356	13.410	2.305
22	40.756	4.181	13.795	1.153
23	41.548	4.751	14.013	1.000
24	43.420	4.446	14.823	2.062
25	44.338	3.436	15.359	1.466
26	45.088	2.775	15.341	1.000
27	46.082	2.838	15.605	1.030
28	46.826	2.183	15.473	1.000
29	47.470	0.951	15.622	1.398
30	49.761	0.233	15.998	2.430
31	50.000	1.357	16.234	1.173
32	50.000	5.784	15.556	4.479
33	49.227	8.648	15.530	2.966
34	47.012	11.555	15.201	3.670
35	47.578	15.752	13.339	4.626
36	49.836	17.473	10.524	3.998
37	50.000	17.105	10.000	0.661
38	50.000	16.348	10.000	0.757
39	50.000	15.467	10.000	0.881
40	50.000	13.699	10.000	1.767
41	50.000	14.407	10.000	0.708
42	50.000	14.064	10.000	0.344
43	50.000	11.208	10.000	2.856
44	50.000	10.251	10.000	0.957
45	50.000	9.103	10.000	1.148
46	50.000	9.756	10.920	1.128
47	50.000	13.246	10.129	3.579
48	50.000	13.934	10.000	0.700
49	50.000	17.039	10.000	3.105
50	50.000	17.651	11.617	1.729
51	50.000	17.120	12.056	0.689
52	50.000	16.907	12.221	0.270
53	50.000	16.311	11.996	0.637
54	50.000	12.228	10.000	4.545
55	50.000	9.776	10.000	2.452
56	50.000	7.535	10.561	2.310
57	50.000	6.563	10.334	0.998
58	50.000	4.616	10.262	1.949
59	50.000	0.308	10.000	4.316
60	50.000	0.000	10.000	0.308
61	50.000	0.000	10.000	0.000
62	50.000	0.000	10.000	0.000
63	50.000	0.000	10.000	0.000
64	50.000	0.000	10.000	0.000
65	50.000	0.000	10.000	0.000
66	50.000	1.441	10.050	1.442
67	50.000	2.092	10.483	0.782
68	50.000	4.551	10.574	2.460
69	49.859	5.527	10.406	1.000
70	50.000	6.949	10.751	1.471
71	50.000	7.089	10.552	0.244
72	50.000	7.886	10.446	0.803
73	50.000	11.517	10.000	3.659
74	50.000	12.296	10.058	0.781
75	50.000	13.262	10.239	0.983
76	48.844	15.853	10.222	2.837
77	49.943	19.577	10.298	3.884
78	48.601	22.594	11.742	3.604
79	50.000	26.610	12.979	4.429
80	50.000	27.234	12.805	0.648
81	50.000	28.960	12.388	1.776
82	50.000	30.279	12.947	1.432
83	50.000	30.603	12.727	0.392
84	50.000	29.662	12.925	0.961
85	50.000	30.394	13.718	1.080
86	50.000	29.844	13.938	0.593
87	50.000	27.427	16.041	3.204
88	50.000	27.508	16.171	0.152
89	50.000	26.880	15.904	0.682
90	50.000	26.995	16.087	0.216
91	50.000	29.955	16.513	2.991
92	50.000	30.119	17.684	1.183
93	50.000	29.472	17.793	0.656
94	50.000	29.816	16.485	1.352
95	50.000	27.141	16.933	2.711
96	50.000	26.167	17.146	0.997
97	50.000	24.817	16.771	1.401
98	50.000	24.892	16.984	0.225
99	50.000	24.251	16.807	0.665
100	50.000	22.773	16.104	1.637
101	49.922	20.825	15.824	1.969
102	48.339	17.461	16.598	3.797
103	47.823	14.063	15.945	3.499
104	48.319	13.390	15.397	1.000
105	47.852	10.318	14.808	3.162
106	48.008	8.205	15.249	2.164
107	46.728	6.721	16.410	2.278
108	46.782	5.976	17.075	1.000
109	49.890	3.295	18.507	4.347
110	49.963	2.302	19.205	1.216
111	50.000	0.000	20.134	2.482
112	50.000	0.000	20.783	0.649
113	50.000	1.693	20.247	1.776
114	50.000	0.259	17.861	2.785
115	50.000	0.899	17.658	0.672
116	50.000	4.577	15.391	4.320
117	50.000	5.317	15.157	0.775
118	50.000	4.946	15.001	0.403
119	50.000	5.350	15.246	0.473
120	50.000	6.344	14.907	1.050
121	50.000	9.033	13.205	3.182
122	50.000	9.574	12.687	0.749
123	50.000	8.822	11.841	1.132
124	50.000	9.780	10.616	1.555
125	50.000	12.732	10.269	2.972
126	50.000	14.141	10.000	1.434
127	50.000	14.380	10.000	0.240
128	50.000	13.586	10.520	0.949
129	50.000	14.056	11.606	1.183
130	50.000	16.875	12.048	2.854
131	50.000	20.014	13.753	3.571
132	49.775	20.983	13.855	1.000
133	50.000	21.821	13.703	0.881
134	50.000	22.026	13.281	0.469
135	50.000	21.140	13.182	0.892
136	50.000	16.500	13.727	4.672
137	49.537	15.758	14.213	1.000
138	50.000	12.222	15.198	3.700
139	50.000	9.929	14.643	2.359
140	50.000	10.213	14.453	0.342
141	50.000	8.019	14.401	2.195
142	50.000	8.724	13.465	1.172
143	50.000	9.692	12.414	1.428
144	50.000	11.031	10.382	2.433
145	50.000	14.743	10.000	3.731
146	49.252	16.948	10.000	2.329
147	48.565	17.642	10.000	0.976
148	48.572	18.843	10.000	1.201
149	50.000	21.133	10.000	2.699
150	50.000	21.116	10.000	0.017
151	50.000	18.230	10.000	2.886
152	50.000	17.895	10.153	0.368
153	50.000	18.356	10.000	0.486
154	50.000	18.615	10.000	0.259
155	50.000	21.498	10.000	2.884
156	50.000	22.585	10.000	1.086
157	50.000	20.948	10.000	1.636
158	50.000	21.973	10.000	1.025
159	50.000	20.906	10.000	1.067
160	50.000	21.699	10.000	0.793
161	50.000	20.067	10.626	1.748
162	50.000	20.413	11.094	0.582
163	50.000	18.493	11.041	1.920
164	50.000	18.117	11.137	0.389
165	50.000	14.389	10.000	3.897
166	50.000	13.593	10.000	0.796
167	50.000	14.542	10.000	0.949
168	50.000	15.850	10.000	1.308
169	50.000	15.712	10.000	0.138
170	50.000	17.346	10.000	1.634
171	50.000	20.032	10.000	2.687
172	50.000	22.198	10.000	2.165
173	50.000	24.681	11.025	2.687
174	50.000	25.488	10.882	0.819
175	49.786	26.757	10.115	1.498
176	50.000	29.425	10.000	2.679
177	50.000	29.856	10.000	0.431
178	50.000	29.549	10.028	0.308
179	50.000	26.766	10.982	2.942
180	50.000	26.337	12.133	1.228
181	50.000	26.434	12.512	0.391
182	50.000	24.840	14.366	2.445
183	50.000	24.241	14.617	0.650
184	50.000	23.448	15.220	0.996
185	50.000	20.892	16.295	2.774
186	50.000	21.311	16.702	0.584
